protein	Mut-7	Mut-28	Mut-34	WT-8	WT-13	WT-25
sp|A5Z2X5|YP010_YEAST	228390705.015713	265915532.416151	134306595.085506	341168250.474621	451019299.581312	199044239.143219
sp|A6ZKT1|VPS10_YEAS7	6295432.01058565	6096156.40768354	4376162.49369758	6469278.96042892	6590993.60491566	4937177.21430708
sp|A6ZP47|DED1_YEAS7	152264219.911169	164396807.480927	68789722.8755434	103188663.597414	319592534.427096	120450984.65102
sp|A6ZQR2|ENOPH_YEAS7	4650623.52237755	2718402.8469001	5188589.31284911	1398673.03223193	3215749.24112581	921571.79520547
sp|A6ZTA3|RIX1_YEAS7	4155545.37210572	3202044.90299061	4324843.87519312	3064157.3782268	2824460.72703232	3521011.15500088
sp|A6ZTE8|MGR1_YEAS7	2055518.02098199	1414991.16138287	2135393.10599144	2042081.92593508	2211188.31081178	2516776.75740407
sp|A6ZU15|ROK1_YEAS7	1687834.86536515	2720047.88790721	2160483.06325427	3136093.50560164	1697034.12477583	NA
sp|A6ZVM6|NCB5R_YEAS7	7428661.1262196	7323448.39015509	3496736.79449555	5361523.45116966	4004032.37725524	6669187.92283153
sp|A6ZVS0|MPH1_YEAS7	800757.278647881	1221168.77427842	NA	NA	847639.199627539	1420641.34481949
sp|A6ZXP4|SUB2_YEAS7	50465367.1026649	49829388.799384	30887576.2435805	39891142.7730932	59588345.9845043	34401985.4943291
sp|A6ZXU0|DBP10_YEAS7	2459088.63882821	1678563.2871888	1383733.07079016	1332926.45442699	3628181.70684782	1653309.9054288
sp|A6ZZJ1|MYO3_YEAS7	6799300.02763943	4253445.44533522	3954734.30629684	3920940.56152697	5426997.74824116	3250092.93372145
sp|A6ZZY2|YKR18_YEAS7	13349729.4335469	12862858.9472155	38984838.6853281	28477665.5253322	21805860.1498502	12670629.6896716
sp|B3LIS9|RTC1_YEAS1	7594295.56727829	1362011.7018372	676667.145461716	1257834.69995402	3563244.94437302	4271163.89349495
sp|B3LP25|MDG1_YEAS1	106448717.224879	83915872.2474704	69259276.6939404	56266378.5471345	44693974.5924871	37606689.1392959
sp|B3LQU1|PIR3_YEAS1	936015.035211883	NA	NA	2728339.5413096	1726429.98635191	1579541.4629021
sp|B3LQW4|COXM1_YEAS1	1560771.72032911	NA	2487991.25424063	3527886.77746344	4152566.75631114	2623509.56865986
sp|B3LRJ8|AIM9_YEAS1	16002203.4378186	13233660.3293349	14174017.7762307	11273586.4729313	8821994.02413951	10060540.1917914
sp|B5VMJ0|UTH1_YEAS6	19051818.4735692	23193040.1772336	12961398.060094	14107304.8343059	12650935.4197478	22271170.1240271
sp|C7GQI8|RDH54_YEAS2	NA	4800544.95827501	3784613.47065187	5015830.15314095	2499450.85134735	3109383.2457019
